Damage,AC_Mass,Num_ENGS,Month,Year,Day,Night,Dawn,Height,Speed,Sky_NoCloud,Sky_Overcast,Fog,Rain,Seen_1,Seen_2to10,Seen_11to100,Struck_1,Struck_2to10,Struck_11to100,Size_Small,Size_Medium
0,4,2,8,2017,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2017,1,0,0,100,135,1,0,0,0,0,1,0,0,1,0,1,0
1,3,2,8,2017,1,0,0,0,56,1,0,0,0,0,1,0,0,1,0,0,0
0,4,2,7,2017,0,0,0,5,140,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2017,1,0,0,15,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2017,1,0,0,0,110,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2017,1,0,0,50,138,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2017,1,0,0,2500,210,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2017,1,0,0,0,120,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2017,1,0,0,300,160,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2017,1,0,0,10,150,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,5,2017,1,0,0,2000,200,1,0,0,0,0,0,1,1,0,0,1,0
0,4,2,5,2017,0,1,0,1800,160,1,0,0,0,1,0,0,1,0,0,0,1
0,1,1,4,2017,1,0,0,1000,105,1,0,0,0,0,1,0,1,0,0,0,1
0,4,2,3,2017,0,1,0,2000,170,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,12,2016,1,0,0,0,150,0,1,1,0,0,1,0,0,1,0,1,0
0,4,2,12,2016,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2016,0,1,0,1500,140,1,0,0,0,0,1,0,1,0,0,0,1
0,4,2,10,2016,0,0,0,3500,190,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2016,1,0,0,50,145,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2016,0,1,0,2500,230,0,0,0,0,1,0,0,1,0,0,1,0
1,3,2,10,2016,1,0,0,990,170,0,0,0,0,0,1,0,1,0,0,0,0
1,4,2,9,2016,1,0,0,200,,0,0,0,0,0,1,0,1,0,0,0,0
0,4,2,9,2016,1,0,0,2300,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,0,1,0,6000,250,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2016,1,0,0,1500,160,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,1,0,0,400,147,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,0,0,0,5,145,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2016,1,0,0,300,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2016,0,0,0,0,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,10,130,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,0,,1,0,0,0,0,0,1,0,1,0,1,0
0,4,2,7,2016,1,0,0,,,0,0,0,0,0,0,1,0,0,1,1,0
0,4,2,7,2016,1,0,0,10,125,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,0,120,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2016,1,0,0,300,160,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2016,1,0,0,,,1,0,0,0,1,0,0,0,1,0,1,0
0,1,1,6,2016,1,0,0,0,10,1,0,0,0,0,1,0,0,1,0,0,0
0,4,2,6,2016,1,0,0,50,170,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,6,2016,1,0,0,,150,0,1,0,1,1,0,0,1,0,0,1,0
0,4,2,6,2016,1,0,0,1,100,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2016,1,0,0,100,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2016,0,0,1,50,150,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,6,2016,0,0,0,200,170,0,0,0,0,0,1,0,1,0,0,1,0
0,4,3,5,2016,1,0,0,0,110,0,1,1,0,1,0,0,1,0,0,0,1
0,4,2,5,2016,1,0,0,50,150,0,0,0,0,0,1,0,1,0,0,1,0
0,4,3,4,2016,0,1,0,800,210,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,4,2016,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,4,2016,1,0,0,0,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,2,2016,1,0,0,0,140,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2015,0,0,1,400,,1,0,0,0,0,0,1,0,0,1,1,0
0,4,2,11,2015,1,0,0,20,130,0,1,0,1,0,1,0,0,1,0,1,0
0,4,2,11,2015,1,0,0,500,130,1,0,0,0,1,0,0,1,0,0,1,0
0,2,2,10,2015,0,1,0,1000,100,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2015,1,0,0,0,70,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2015,0,1,0,3000,170,1,0,0,0,1,0,0,1,0,0,1,0
1,2,2,10,2015,1,0,0,20,80,1,0,0,0,1,0,0,1,0,0,0,0
0,4,2,10,2015,1,0,0,500,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,10,2015,1,0,0,400,170,0,1,0,1,1,0,0,1,0,0,0,0
0,4,2,10,2015,1,0,0,100,150,0,0,0,1,0,1,0,1,0,0,1,0
0,4,2,9,2015,1,0,0,2000,210,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2015,1,0,0,400,131,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,9,2015,1,0,0,300,135,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2015,0,1,0,7000,250,0,0,0,0,1,0,0,1,0,0,0,1
0,4,2,8,2015,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0
1,2,2,8,2015,1,0,0,150,150,0,0,0,0,0,0,0,0,0,0,1,0
