State,Airport,OPID,A_Type,Type_ENG,Species,Damage,AC_Mass,Num_ENGS,Month,Year,Time,Height,Speed,Phase,Sky,Precip,Birds_Seen,Birds_Struck,Size
MD,KBWI,AAL,MD-80,D,Crows,0,4,2,8,2002,Day,0,,Landing Roll,Overcast,Rain,,1,Medium
MD,KBWI,DAL,B-757-200,D,Unknown bird,0,4,2,8,2002,Day,5000,250,Descent,Some Cloud,None,1,1,Small
MD,KBWI,AAL,MD-80,D,American kestrel,0,4,2,8,2002,Day,0,,Take-off run,Some Cloud,None,1,1,Small
MD,KBWI,FDX,A-300,D,Unknown bird,0,4,2,8,2002,Day,800,135,Approach,,,,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2002,Day,20,132,Approach,No Cloud,None,1,1,Small
MD,KBWI,COA,B-737-800,D,Mourning dove,0,4,2,8,2002,Day,10,145,Approach,Some Cloud,None,2 to 10,2 to 10,Small
MD,KBWI,SWA,B-737-300,D,Rock pigeon,0,4,2,8,2002,Day,0,145,Take-off run,Some Cloud,None,2 to 10,1,Small
MD,KBWI,SWA,B-737-300,D,Mourning dove,0,4,2,8,2002,Day,0,,Landing Roll,No Cloud,None,1,1,Small
MD,KHGR,BUS,C-337,A,Woodchuck,1,1,2,8,2002,Day,0,,Landing Roll,Some Cloud,None,1,1,Large
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,7,2002,Night,2000,130,Approach,Overcast,None,1,1,Small
MD,KBWI,AAL,MD-80,D,Unknown bird,0,4,2,7,2002,,0,,Take-off run,,,,1,Medium
MD,KBWI,TRS,B-717-200,D,Unknown bird,0,4,2,7,2002,Day,100,140,Approach,No Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,7,2002,Day,200,140,Approach,Overcast,None,2 to 10,1,Small
MD,KMTN,BUS,BA-31 JETSTR,C,Unknown bird,1,2,2,6,2002,Day,50,130,Approach,No Cloud,None,1,1,Medium
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,6,2002,Day,0,135,Take-off run,Some Cloud,None,2 to 10,1,Medium
MD,KBWI,UAL,A-320,D,Unknown bird,0,4,2,6,2002,,0,,Take-off run,,,,1,Small
MD,KMTN,MIL,A-10A,D,Unknown bird,0,3,2,6,2002,Day,,,Approach,Some Cloud,None,,1,Medium
MD,KBWI,AAL,MD-80,D,Unknown bird,0,4,2,5,2002,,3000,,Approach,,,,1,Medium
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,5,2002,Night,3700,220,Climb,No Cloud,None,1,1,Small
MD,KBWI,USA,A-320,D,Gulls,0,4,2,5,2002,Day,300,180,Climb,Some Cloud,None,2 to 10,1,Medium
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,5,2002,Night,2000,210,Climb,Overcast,None,,1,Small
MD,KBWI,AAL,B-757-200,D,Mourning dove,0,4,2,5,2002,Night,2500,180,Approach,No Cloud,None,,1,Small
MD,KBWI,EGF,EMB-135,D,Unknown bird,0,3,2,5,2002,Day,4000,230,Approach,No Cloud,None,,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,4,2002,Night,1000,130,Approach,No Cloud,None,2 to 10,2 to 10,Small
MD,KMTN,BUS,BA-125-800,D,Gulls,1,3,2,4,2002,Day,10,123,Climb,No Cloud,None,2 to 10,1,Medium
MD,KBWI,1AWE,B-757-200,D,Swallows,0,4,2,4,2002,Night,2500,210,Approach,Some Cloud,None,1,1,Small
MD,KBWI,MRA,C-208,C,Horned grebe,1,2,1,4,2002,Night,146,140,Approach,No Cloud,None,,1,Medium
MD,KBWI,USC,BE-58  BARON,A,Unknown bird,0,2,2,4,2002,Night,5000,150,Approach,No Cloud,None,,1,Medium
MD,KBWI,AAL,B-737-800,D,Unknown bird,0,4,2,3,2002,Night,800,160,Approach,No Cloud,None,1,1,Medium
MD,KBWI,BAW,B-767-300,D,Unknown bird,0,4,2,3,2002,Night,2300,180,Approach,No Cloud,None,,1,Small
MD,KBWI,USA,A-319,D,Geese,1,4,2,3,2002,Dusk,4000,210,Approach,No Cloud,None,2 to 10,2 to 10,Large
MD,KMTN,BUS,C-172,A,Gulls,0,1,1,3,2002,Day,20,65,Approach,Some Cloud,None,2 to 10,1,Medium
MD,KMTN,BUS,GULFAERO IV,D,Gulls,1,4,2,3,2002,Dawn,50,140,Climb,Overcast,Rain,11 to 100,11-100,Medium
MD,KBWI,LOF,BA-41 JETSTR,C,Unknown bird,0,3,2,3,2002,Day,0,103,Landing Roll,Some Cloud,None,,1,Small
MD,KBWI,ALO,DHC8 DASH 8,C,Unknown bird,0,3,2,3,2002,Day,50,100,Climb,No Cloud,None,1,1,Medium
MD,2W2,BUS,C-172,A,Unknown bird,1,1,1,3,2002,Night,1500,120,Descent,Overcast,None,,1,Medium
MD,KBWI,UAL,B-757-200,D,Unknown bird,0,4,2,3,2002,,,,Approach,,,,1,Medium
MD,KBWI,SWA,B-737-300,D,Ring-billed gull,0,4,2,2,2002,Day,0,135,Take-off run,Some Cloud,None,1,1,Medium
MD,KBWI,NHK,BE-300 KING,C,Black vulture,1,1,2,1,2002,Day,2000,150,Approach,No Cloud,None,1,1,Large
MD,KBWI,SWA,B-737-300,D,Unknown bird,1,4,2,11,2001,Day,0,150,Take-off run,Some Cloud,None,1,1,Medium
MD,KBWI,UAL,A-320,D,Unknown bird,0,4,2,11,2001,,,,Approach,,,,1,Medium
