Date,SPY,Logret,rk_twoscale,rv5,bv,rsv_ss,rk_parzen,rk_th2,medrv,rsv,rv10_ss,rv5_ss,bv_ss,rv10
6/29/2009,76.22,0.0093,0.000057,0.000067,0.000074,0.000032,0.000068,0.000059,0.000025,0.000032,0.000050,0.000067,0.000074,0.000050
6/30/2009,75.60,-0.0081,0.000094,0.000097,0.000083,0.000065,0.000156,0.000096,0.000050,0.000065,0.000094,0.000097,0.000083,0.000094
7/1/2009,75.92,0.0041,0.000074,0.000085,0.000068,0.000040,0.000076,0.000074,0.000026,0.000040,0.000101,0.000085,0.000068,0.000101
7/2/2009,73.84,-0.0277,0.000138,0.000277,0.000115,0.000263,0.000314,0.000149,0.000018,0.000263,0.000362,0.000277,0.000115,0.000362
7/6/2009,73.84,-0.0001,0.000124,0.000099,0.000113,0.000049,0.000079,0.000126,0.000048,0.000049,0.000088,0.000099,0.000113,0.000088
7/7/2009,72.41,-0.0196,0.000090,0.000099,0.000098,0.000069,0.000124,0.000091,0.000060,0.000069,0.000096,0.000099,0.000098,0.000096
7/8/2009,72.36,-0.0007,0.000169,0.000172,0.000173,0.000079,0.000214,0.000170,0.000119,0.000079,0.000198,0.000172,0.000173,0.000198
7/9/2009,72.50,0.0019,0.000145,0.000138,0.000133,0.000067,0.000038,0.000148,0.000059,0.000067,0.000100,0.000138,0.000133,0.000100
7/10/2009,72.32,-0.0024,0.000130,0.000131,0.000107,0.000057,0.000059,0.000131,0.000076,0.000057,0.000117,0.000131,0.000107,0.000117
7/13/2009,74.08,0.0240,0.000121,0.000119,0.000067,0.000027,0.000187,0.000123,0.000027,0.000027,0.000129,0.000119,0.000067,0.000129
7/14/2009,74.50,0.0056,0.000094,0.000063,0.000056,0.000032,0.000043,0.000091,0.000045,0.000032,0.000070,0.000063,0.000056,0.000070
7/15/2009,76.68,0.0288,0.000087,0.000105,0.000042,0.000008,0.000141,0.000089,0.000015,0.000008,0.000119,0.000105,0.000042,0.000119
7/16/2009,76.56,-0.0016,0.000079,0.000067,0.000057,0.000031,0.000075,0.000079,0.000033,0.000031,0.000062,0.000067,0.000057,0.000062
7/17/2009,77.40,0.0109,0.000064,0.000062,0.000058,0.000031,0.000036,0.000065,0.000027,0.000031,0.000070,0.000062,0.000058,0.000070
7/20/2009,78.22,0.0106,0.000082,0.000108,0.000095,0.000048,0.000064,0.000084,0.000027,0.000048,0.000117,0.000108,0.000095,0.000117
7/21/2009,78.58,0.0046,0.000096,0.000105,0.000073,0.000052,0.000079,0.000096,0.000049,0.000052,0.000109,0.000105,0.000073,0.000109
7/22/2009,78.56,-0.0002,0.000111,0.000089,0.000090,0.000049,0.000038,0.000111,0.000065,0.000049,0.000079,0.000089,0.000090,0.000079
7/23/2009,80.30,0.0218,0.000088,0.000121,0.000100,0.000029,0.000256,0.000091,0.000061,0.000029,0.000116,0.000121,0.000100,0.000116
7/24/2009,80.63,0.0041,0.000079,0.000081,0.000073,0.000039,0.000055,0.000081,0.000030,0.000039,0.000080,0.000081,0.000073,0.000080
7/27/2009,80.87,0.0030,0.000089,0.000082,0.000065,0.000042,0.000053,0.000091,0.000032,0.000042,0.000070,0.000082,0.000065,0.000070
7/28/2009,80.49,-0.0047,0.000111,0.000124,0.000090,0.000078,0.000071,0.000113,0.000043,0.000078,0.000112,0.000124,0.000090,0.000112
7/29/2009,80.29,-0.0025,0.000123,0.000131,0.000107,0.000077,0.000054,0.000124,0.000065,0.000077,0.000125,0.000131,0.000107,0.000125
7/30/2009,81.13,0.0104,0.000139,0.000220,0.000116,0.000043,0.000303,0.000144,0.000035,0.000043,0.000236,0.000220,0.000116,0.000236
7/31/2009,81.24,0.0014,0.000130,0.000089,0.000096,0.000044,0.000024,0.000132,0.000044,0.000044,0.000074,0.000089,0.000096,0.000074
8/3/2009,82.58,0.0164,0.000128,0.000124,0.000070,0.000032,0.000056,0.000131,0.000024,0.000032,0.000102,0.000124,0.000070,0.000102
8/4/2009,82.80,0.0026,0.000067,0.000071,0.000050,0.000036,0.000050,0.000068,0.000029,0.000036,0.000073,0.000071,0.000050,0.000073
8/5/2009,82.56,-0.0029,0.000095,0.000098,0.000079,0.000058,0.000096,0.000097,0.000034,0.000058,0.000109,0.000098,0.000079,0.000109
8/6/2009,82.13,-0.0052,0.000108,0.000087,0.000076,0.000050,0.000096,0.000110,0.000044,0.000050,0.000097,0.000087,0.000076,0.000097
8/7/2009,83.21,0.0130,0.000135,0.000150,0.000116,0.000042,0.000117,0.000138,0.000028,0.000042,0.000100,0.000150,0.000116,0.000100
8/10/2009,83.04,-0.0021,0.000061,0.000056,0.000058,0.000031,0.000033,0.000062,0.000041,0.000031,0.000045,0.000056,0.000058,0.000045
8/11/2009,82.00,-0.0126,0.000072,0.000072,0.000066,0.000047,0.000089,0.000073,0.000035,0.000047,0.000079,0.000072,0.000066,0.000079
8/12/2009,82.88,0.0107,0.000110,0.000099,0.000099,0.000037,0.000186,0.000112,0.000036,0.000037,0.000114,0.000099,0.000099,0.000114
