Date,SPY,Logret,rk_twoscale,rv5,bv,rsv_ss,rk_parzen,rk_th2,medrv,rsv,rv10_ss,rv5_ss,bv_ss,rv10
5/1/2014,170.56,0.0001,0.000023,0.00002,0.000023,0.00001,0.000013,0.000023,0.000012,0.00001,0.000023,0.00002,0.000023,0.000023
5/2/2014,170.32,-0.0014,0.00003,0.000032,0.00003,0.000018,0.000022,0.00003,0.000012,0.000018,0.000041,0.000032,0.00003,0.000041
5/5/2014,170.65,0.0019,0.000026,0.000053,0.000019,0.000038,0.000039,0.000027,0.000007,0.000038,0.000054,0.000053,0.000019,0.000054
5/6/2014,169.16,-0.0087,0.000021,0.000026,0.000022,0.000019,0.000023,0.000022,0.000011,0.000019,0.000029,0.000026,0.000022,0.000029
5/7/2014,170.16,0.0059,0.000051,0.000081,0.000075,0.000037,0.000051,0.000049,0.000038,0.000037,0.000051,0.000081,0.000075,0.000051
5/8/2014,169.97,-0.0011,0.00003,0.000027,0.000029,0.000013,0.000042,0.00003,0.000017,0.000013,0.000026,0.000027,0.000029,0.000026
5/9/2014,170.23,0.0015,0.000027,0.000031,0.000031,0.000015,0.000033,0.000028,0.000011,0.000015,0.000029,0.000031,0.000031,0.000029
5/12/2014,171.89,0.0097,0.000016,0.000023,0.000007,0.000002,0.00003,0.000017,0.000004,0.000002,0.000023,0.000023,0.000007,0.000023
5/13/2014,172.04,0.0009,0.000011,0.00001,0.000009,0.000005,0.000006,0.000011,0.000005,0.000005,0.00001,0.00001,0.000009,0.00001
5/14/2014,171.22,-0.0047,0.000014,0.000015,0.000013,0.000011,0.00001,0.000014,0.000005,0.000011,0.000018,0.000015,0.000013,0.000018
5/15/2014,169.72,-0.0088,0.000038,0.000048,0.000049,0.000032,0.000072,0.000038,0.000023,0.000032,0.00006,0.000048,0.000049,0.00006
5/16/2014,170.31,0.0035,0.000023,0.000022,0.000021,0.00001,0.000023,0.000023,0.000008,0.00001,0.000028,0.000022,0.000021,0.000028
5/19/2014,170.93,0.0037,0.000016,0.000012,0.00001,0.000004,0.000009,0.000016,0.000005,0.000004,0.000009,0.000012,0.00001,0.000009
5/20/2014,169.86,-0.0063,0.000022,0.000027,0.00002,0.000017,0.000029,0.000022,0.000014,0.000017,0.000029,0.000027,0.00002,0.000029
5/21/2014,171.29,0.0084,0.00002,0.000024,0.00002,0.000005,0.000031,0.00002,0.000009,0.000005,0.000028,0.000024,0.00002,0.000028
5/22/2014,171.7,0.0024,0.00001,0.000009,0.000009,0.000003,0.000007,0.000011,0.000004,0.000003,0.000011,0.000009,0.000009,0.000011
5/23/2014,172.39,0.004,0.000004,0.000004,0.000004,0.000001,0.000004,0.000004,0.000002,0.000001,0.000002,0.000004,0.000004,0.000002
5/27/2014,173.45,0.0061,0.000009,0.000018,0.000011,0.000003,0.000013,0.000009,0.000004,0.000003,0.000014,0.000018,0.000011,0.000014
5/28/2014,173.33,-0.0007,0.00001,0.000009,0.000009,0.000005,0.000009,0.00001,0.000007,0.000005,0.00001,0.000009,0.000009,0.00001
5/29/2014,174.22,0.0052,0.000009,0.000013,0.000007,0.000003,0.000009,0.000009,0.000002,0.000003,0.000012,0.000013,0.000007,0.000012
5/30/2014,174.5,0.0016,0.000007,0.000008,0.000006,0.000005,0.000008,0.000008,0.000004,0.000005,0.000009,0.000008,0.000006,0.000009
6/2/2014,174.7,0.0011,0.000011,0.000015,0.000018,0.000008,0.000014,0.000011,0.000004,0.000008,0.000018,0.000015,0.000018,0.000018
6/3/2014,174.61,-0.0005,0.00001,0.000009,0.000008,0.000005,0.000005,0.00001,0.000003,0.000005,0.000006,0.000009,0.000008,0.000006
6/4/2014,174.97,0.002,0.000008,0.000009,0.000008,0.000004,0.000006,0.000008,0.000002,0.000004,0.000006,0.000009,0.000008,0.000006
6/5/2014,176.11,0.0065,0.000014,0.000015,0.000014,0.000005,0.000024,0.000014,0.000007,0.000005,0.000016,0.000015,0.000014,0.000016
6/6/2014,176.95,0.0048,0.000005,0.000007,0.000007,0.000002,0.000005,0.000005,0.000003,0.000002,0.000008,0.000007,0.000007,0.000008
6/9/2014,177.13,0.001,0.000008,0.000008,0.000007,0.000004,0.000008,0.000008,0.000004,0.000004,0.000008,0.000008,0.000007,0.000008
6/10/2014,177.15,0.0001,0.000007,0.000009,0.00001,0.000004,0.000005,0.000007,0.000004,0.000004,0.000009,0.000009,0.00001,0.000009
6/11/2014,176.53,-0.0035,0.000013,0.000017,0.00001,0.000013,0.000011,0.000013,0.000003,0.000013,0.000014,0.000017,0.00001,0.000014
6/12/2014,175.28,-0.0071,0.000015,0.000018,0.000016,0.000012,0.000018,0.000015,0.00001,0.000012,0.000019,0.000018,0.000016,0.000019
6/13/2014,175.82,0.003,0.000014,0.000019,0.000018,0.000007,0.000018,0.000014,0.000007,0.000007,0.00002,0.000019,0.000018,0.00002
6/16/2014,175.96,0.0008,0.000014,0.00002,0.000014,0.000008,0.000026,0.000014,0.000008,0.000008,0.000017,0.00002,0.000014,0.000017
6/17/2014,176.45,0.0028,0.000012,0.000014,0.000013,0.000007,0.000014,0.000013,0.000005,0.000007,0.000015,0.000014,0.000013,0.000015
6/18/2014,177.75,0.0073,0.00002,0.000018,0.000015,0.000005,0.000026,0.00002,0.000007,0.000005,0.000016,0.000018,0.000015,0.000016
6/19/2014,177.94,0.0011,0.000009,0.000008,0.000008,0.000004,0.000005,0.000009,0.000005,0.000004,0.000008,0.000008,0.000008,0.000008
6/20/2014,178.31,0.002,0.000005,0.000005,0.000005,0.000002,0.000004,0.000005,0.000004,0.000002,0.000004,0.000005,0.000005,0.000004
6/23/2014,178.25,-0.0003,0.000008,0.000007,0.000005,0.000004,0.000004,0.000008,0.000002,0.000004,0.000005,0.000007,0.000005,0.000005
6/24/2014,177.18,-0.006,0.000015,0.000019,0.000019,0.000012,0.000029,0.000015,0.000006,0.000012,0.000025,0.000019,0.000019,0.000025
6/25/2014,177.98,0.0045,0.000014,0.000014,0.000015,0.000005,0.000011,0.000014,0.000006,0.000005,0.000011,0.000014,0.000015,0.000011
6/26/2014,177.85,-0.0007,0.000018,0.000025,0.000019,0.000016,0.000043,0.000018,0.000005,0.000016,0.000033,0.000025,0.000019,0.000033
6/27/2014,178.2,0.0019,0.00001,0.000013,0.00001,0.000006,0.000011,0.00001,0.000005,0.000006,0.000012,0.000013,0.00001,0.000012
